dataset,arch,variant,noise,seed,accuracy,macro_f1,top3,violation_rate,forbidden,violation_rate_net,forbidden_net,dl_similarity,suffix_accuracy,exact_match,suffix_dfa_violation,suffix_dfa_violation_net,suffix_precedence_violation,suffix_net_fitness,n_suffix,prefix_lengths,best_epoch,corrupted,train_compliance,secs_per_epoch,secs_train,secs_petrinet,secs_dfa,secs_automaton,secs_markings,secs_artifacts,gpu,knowledge_key,net_fingerprint,artifacts_cached,split,knowledge,vocab_scope,train_frac,val_frac,test_frac,protocol,source_dir
Sepsis_Case,lstm,baseline,0.0,0,0.672595,0.491508,0.937984,0.000456,0.007942,0.004104,0.011551,0.564343,0.369348,0.081218,0.0,0.04081,0.0,0.965087,394,6|7|8,12,0,0.968707,1.4,23.8,0.02,0.17,0.04,2.41,3.6,NVIDIA A100-SXM4-80GB,389addb5e7aa9c29,49714600535b,0,temporal,test,all,0.7,0.15,0.15,B,noise_curve_b
Sepsis_Case,lstm,checker,0.0,0,0.674419,0.489583,0.943,0.000456,0.005914,0.004104,0.011309,0.55477,0.384322,0.088832,0.0,0.041398,0.0,0.965455,394,6|7|8,11,0,0.968707,1.45,23.21,0.02,0.17,0.04,2.41,3.6,NVIDIA A100-SXM4-80GB,389addb5e7aa9c29,49714600535b,0,temporal,test,all,0.7,0.15,0.15,B,noise_curve_b
Sepsis_Case,lstm,checker_net,0.0,0,0.670315,0.491247,0.940264,0.000456,0.006594,0.004104,0.009975,0.545458,0.362008,0.109137,0.0,0.054316,0.0,0.956045,394,6|7|8,11,0,0.968707,1.22,19.55,0.02,0.17,0.04,2.41,3.6,NVIDIA A100-SXM4-80GB,389addb5e7aa9c29,49714600535b,0,temporal,test,all,0.7,0.15,0.15,B,noise_curve_b
Sepsis_Case,lstm,checker_net_state,0.0,0,0.668035,0.490211,0.939352,0.000456,0.006594,0.004104,0.010006,0.557953,0.384909,0.093909,0.0,0.052261,0.0,0.961381,394,6|7|8,11,0,0.968707,1.11,17.75,0.02,0.17,0.04,2.41,3.6,NVIDIA A100-SXM4-80GB,389addb5e7aa9c29,49714600535b,0,temporal,test,all,0.7,0.15,0.15,B,noise_curve_b
Sepsis_Case,lstm,marking,0.0,0,0.671683,0.49039,0.941176,0.000456,0.007778,0.004104,0.012394,0.577814,0.394891,0.129442,0.0,0.049325,0.002538,0.966232,394,6|7|8,12,0,0.968707,1.16,19.67,0.02,0.17,0.04,2.41,3.6,NVIDIA A100-SXM4-80GB,389addb5e7aa9c29,49714600535b,0,temporal,test,all,0.7,0.15,0.15,B,noise_curve_b
Sepsis_Case,lstm,gnn,0.0,0,0.667123,0.488076,0.929321,0.000912,0.008486,0.005928,0.013489,0.562972,0.388726,0.07868,0.0,0.028186,0.0,0.977586,394,6|7|8,11,0,0.968707,1.32,21.11,0.02,0.17,0.04,2.41,3.6,NVIDIA A100-SXM4-80GB,389addb5e7aa9c29,49714600535b,0,temporal,test,all,0.7,0.15,0.15,B,noise_curve_b
Sepsis_Case,lstm,seq,0.0,0,0.671683,0.482562,0.932969,0.000456,0.010089,0.005472,0.014375,0.589446,0.427187,0.081218,0.0,0.006459,0.0,0.986369,394,6|7|8,9,0,0.968707,3.0,42.03,0.02,0.17,0.04,2.41,3.6,NVIDIA A100-SXM4-80GB,389addb5e7aa9c29,49714600535b,0,temporal,test,all,0.7,0.15,0.15,B,noise_curve_b
Sepsis_Case,lstm,lll,0.0,0,0.668035,0.486126,0.931145,0.000456,0.00356,0.000456,0.001422,0.542977,0.37111,0.104061,0.0,0.0,0.002538,0.97432,394,6|7|8,12,0,0.968707,1.22,20.81,0.02,0.17,0.04,2.41,3.6,NVIDIA A100-SXM4-80GB,389addb5e7aa9c29,49714600535b,0,temporal,test,all,0.7,0.15,0.15,B,noise_curve_b
Sepsis_Case,lstm,gll,0.0,0,0.668947,0.471355,0.939352,0.000912,0.005359,0.00456,0.007114,0.575549,0.419554,0.06599,0.0,0.000587,0.0,0.989958,394,6|7|8,10,0,0.968707,3.02,45.37,0.02,0.17,0.04,2.41,3.6,NVIDIA A100-SXM4-80GB,389addb5e7aa9c29,49714600535b,0,temporal,test,all,0.7,0.15,0.15,B,noise_curve_b
Sepsis_Case,lstm,baseline,0.1,0,0.662107,0.480745,0.937528,0.000456,0.044977,0.003648,0.040097,0.570012,0.395772,0.083756,0.0,0.027011,0.005076,0.978539,394,6|7|8,12,1082,0.657143,1.48,25.16,0.02,0.17,0.04,2.41,3.6,NVIDIA A100-SXM4-80GB,389addb5e7aa9c29,49714600535b,0,temporal,test,all,0.7,0.15,0.15,B,noise_curve_b
