dataset,arch,variant,noise,seed,accuracy,macro_f1,top3,violation_rate,forbidden,violation_rate_net,forbidden_net,dl_similarity,suffix_accuracy,exact_match,suffix_dfa_violation,suffix_dfa_violation_net,suffix_precedence_violation,suffix_net_fitness,n_suffix,prefix_lengths,best_epoch,corrupted,train_compliance,secs_per_epoch,secs_train,secs_petrinet,secs_dfa,secs_automaton,secs_markings,secs_artifacts,gpu,knowledge_key,net_fingerprint,artifacts_cached,split,knowledge,vocab_scope,train_frac,val_frac,test_frac,protocol,source_dir
BPIC_2020_DomesticDeclarations,lstm,baseline,0.0,0,0.907547,0.523588,0.99886,0.0,0.000496,0.001026,0.036121,0.917913,0.794928,0.837057,0.064944,0.065594,0.0,0.982402,4566,2|3|4,9,0,0.999456,1.85,25.88,0.06,0.18,0.0,0.6,4.49,NVIDIA A100-SXM4-80GB,a7eeb9c6f4b5df0f,f86d69189bb7,0,temporal,train,all,0.7,0.15,0.15,C,noise_curve_c
BPIC_2020_DomesticDeclarations,lstm,checker,0.0,0,0.907547,0.523588,0.99886,0.0,0.000307,0.001026,0.035522,0.917858,0.794928,0.837057,0.065025,0.065675,0.0,0.982393,4566,2|3|4,9,0,0.999456,1.86,26.01,0.06,0.18,0.0,0.6,4.49,NVIDIA A100-SXM4-80GB,a7eeb9c6f4b5df0f,f86d69189bb7,0,temporal,train,all,0.7,0.15,0.15,C,noise_curve_c
BPIC_2020_DomesticDeclarations,lstm,checker_net,0.0,0,0.907547,0.523588,0.99886,0.0,0.000323,0.001026,0.024622,0.917913,0.794928,0.837057,0.064944,0.065594,0.0,0.982402,4566,2|3|4,9,0,0.999456,1.86,26.01,0.06,0.18,0.0,0.6,4.49,NVIDIA A100-SXM4-80GB,a7eeb9c6f4b5df0f,f86d69189bb7,0,temporal,train,all,0.7,0.15,0.15,C,noise_curve_c
BPIC_2020_DomesticDeclarations,lstm,checker_net_state,0.0,0,0.907547,0.523588,0.99886,0.0,0.000353,0.001026,0.025026,0.920433,0.748029,0.837057,0.059091,0.059742,0.0,0.98421,4566,2|3|4,9,0,0.999456,1.89,26.41,0.06,0.18,0.0,0.6,4.49,NVIDIA A100-SXM4-80GB,a7eeb9c6f4b5df0f,f86d69189bb7,0,temporal,train,all,0.7,0.15,0.15,C,noise_curve_c
BPIC_2020_DomesticDeclarations,lstm,marking,0.0,0,0.907547,0.523588,0.998974,0.0,0.00126,0.001026,0.040774,0.917913,0.794928,0.837057,0.064944,0.065594,0.0,0.982402,4566,2|3|4,3,0,0.999456,2.04,16.28,0.06,0.18,0.0,0.6,4.49,NVIDIA A100-SXM4-80GB,a7eeb9c6f4b5df0f,f86d69189bb7,0,temporal,train,all,0.7,0.15,0.15,C,noise_curve_c
BPIC_2020_DomesticDeclarations,lstm,gnn,0.0,0,0.907547,0.523588,0.981874,0.0,0.000603,0.001026,0.040642,0.918291,0.800455,0.837057,0.065269,0.065919,0.0,0.982275,4566,2|3|4,9,0,0.999456,2.64,36.95,0.06,0.18,0.0,0.6,4.49,NVIDIA A100-SXM4-80GB,a7eeb9c6f4b5df0f,f86d69189bb7,0,temporal,train,all,0.7,0.15,0.15,C,noise_curve_c
BPIC_2020_DomesticDeclarations,lstm,seq,0.0,0,0.907547,0.523588,0.981304,0.0,0.001534,0.001026,0.041198,0.919027,0.802081,0.837057,0.067545,0.068195,0.0,0.981542,4566,2|3|4,2,0,0.999456,4.37,30.62,0.06,0.18,0.0,0.6,4.49,NVIDIA A100-SXM4-80GB,a7eeb9c6f4b5df0f,f86d69189bb7,0,temporal,train,all,0.7,0.15,0.15,C,noise_curve_c
BPIC_2020_DomesticDeclarations,lstm,lll,0.0,0,0.906521,0.478029,0.975262,0.001254,0.006145,0.0,0.00214,0.915511,0.79631,0.835961,0.077623,0.069333,0.0,0.981023,4566,2|3|4,1,0,0.999456,2.06,12.34,0.06,0.18,0.0,0.6,4.49,NVIDIA A100-SXM4-80GB,a7eeb9c6f4b5df0f,f86d69189bb7,0,temporal,train,all,0.7,0.15,0.15,C,noise_curve_c
BPIC_2020_DomesticDeclarations,lstm,gll,0.0,0,0.907547,0.523588,0.99772,0.0,0.002752,0.001026,0.024252,0.915735,0.741689,0.837057,0.078274,0.00065,0.0,0.992833,4566,2|3|4,4,0,0.999456,4.57,41.16,0.06,0.18,0.0,0.6,4.49,NVIDIA A100-SXM4-80GB,a7eeb9c6f4b5df0f,f86d69189bb7,0,temporal,train,all,0.7,0.15,0.15,C,noise_curve_c
BPIC_2020_DomesticDeclarations,lstm,baseline,0.1,0,0.907547,0.523588,0.997948,0.0,0.077373,0.001026,0.108678,0.916503,0.795172,0.837057,0.070796,0.071446,0.0,0.981279,4566,2|3|4,9,3888,0.714927,1.84,25.72,0.06,0.18,0.0,0.6,4.49,NVIDIA A100-SXM4-80GB,a7eeb9c6f4b5df0f,f86d69189bb7,0,temporal,train,all,0.7,0.15,0.15,C,noise_curve_c
