dataset,arch,variant,noise,seed,accuracy,macro_f1,top3,violation_rate,forbidden,violation_rate_net,forbidden_net,dl_similarity,suffix_accuracy,exact_match,suffix_dfa_violation,suffix_dfa_violation_net,suffix_precedence_violation,suffix_net_fitness,n_suffix,prefix_lengths,best_epoch,corrupted,train_compliance,secs_per_epoch,secs_train,secs_petrinet,secs_dfa,secs_automaton,secs_markings,secs_artifacts,gpu,knowledge_key,net_fingerprint,artifacts_cached,split,knowledge,vocab_scope,train_frac,val_frac,test_frac,protocol,source_dir
BPI_Challenge_2012,lstm,baseline,0.0,0,0.851319,0.652427,0.98465,0.0,0.000356,0.0,4.4e-05,0.484507,0.328392,0.154536,0.0,0.0,0.0,0.999314,3682,5|6|7,13,0,1.0,18.52,333.3,9.85,0.2,160.86,14.01,196.39,NVIDIA A100-SXM4-80GB,89faf2fe4e118b2d,7b1f70985555,0,temporal,train,all,0.7,0.15,0.15,C,noise_curve_c
BPI_Challenge_2012,lstm,checker,0.0,0,0.853309,0.651318,0.984304,0.0,0.000264,0.0,2.3e-05,0.484244,0.33011,0.155079,0.0,0.0,0.0,0.999314,3682,5|6|7,9,0,1.0,19.32,270.42,9.85,0.2,160.86,14.01,196.39,NVIDIA A100-SXM4-80GB,89faf2fe4e118b2d,7b1f70985555,0,temporal,train,all,0.7,0.15,0.15,C,noise_curve_c
BPI_Challenge_2012,lstm,checker_net,0.0,0,0.853281,0.65542,0.984448,0.0,0.00028,0.0,2.4e-05,0.484499,0.329907,0.157251,0.0,0.0,0.0,0.999314,3682,5|6|7,13,0,1.0,22.7,408.59,9.85,0.2,160.86,14.01,196.39,NVIDIA A100-SXM4-80GB,89faf2fe4e118b2d,7b1f70985555,0,temporal,train,all,0.7,0.15,0.15,C,noise_curve_c
BPI_Challenge_2012,lstm,checker_net_state,0.0,0,0.85279,0.653897,0.984679,0.0,0.000272,0.0,2.8e-05,0.484564,0.329136,0.155622,0.0,0.0,0.0,0.999314,3682,5|6|7,13,0,1.0,21.16,380.96,9.85,0.2,160.86,14.01,196.39,NVIDIA A100-SXM4-80GB,89faf2fe4e118b2d,7b1f70985555,0,temporal,train,all,0.7,0.15,0.15,C,noise_curve_c
BPI_Challenge_2012,lstm,marking,0.0,0,0.8553,0.661354,0.984592,0.0,0.000295,0.0,4.4e-05,0.48424,0.329744,0.154807,0.0,0.0,0.0,0.999247,3682,5|6|7,25,0,1.0,21.54,646.27,9.85,0.2,160.86,14.01,196.39,NVIDIA A100-SXM4-80GB,89faf2fe4e118b2d,7b1f70985555,0,temporal,train,all,0.7,0.15,0.15,C,noise_curve_c
BPI_Challenge_2012,lstm,gnn,0.0,0,0.85481,0.663618,0.984246,0.0,0.000552,0.0,6e-05,0.484986,0.329541,0.15535,0.0,0.0,0.0,0.999247,3682,5|6|7,11,0,1.0,21.67,346.64,9.85,0.2,160.86,14.01,196.39,NVIDIA A100-SXM4-80GB,89faf2fe4e118b2d,7b1f70985555,0,temporal,train,all,0.7,0.15,0.15,C,noise_curve_c
BPI_Challenge_2012,lstm,seq,0.0,0,0.854435,0.654515,0.984188,0.0,0.000533,0.0,7.4e-05,0.484744,0.330245,0.154807,0.0,0.0,0.0,0.999247,3682,5|6|7,10,0,1.0,67.99,1019.9,9.85,0.2,160.86,14.01,196.39,NVIDIA A100-SXM4-80GB,89faf2fe4e118b2d,7b1f70985555,0,temporal,train,all,0.7,0.15,0.15,C,noise_curve_c
BPI_Challenge_2012,lstm,lll,0.0,0,0.851059,0.652821,0.984477,2.9e-05,0.000756,0.0,4.1e-05,0.48483,0.32877,0.154536,0.0,0.0,0.0,0.999314,3682,5|6|7,13,0,1.0,18.83,338.91,9.85,0.2,160.86,14.01,196.39,NVIDIA A100-SXM4-80GB,89faf2fe4e118b2d,7b1f70985555,0,temporal,train,all,0.7,0.15,0.15,C,noise_curve_c
BPI_Challenge_2012,lstm,gll,0.0,0,0.856253,0.657605,0.984304,0.0,0.000433,0.0,2.4e-05,0.484874,0.329082,0.156708,0.0,0.0,0.0,0.999314,3682,5|6|7,14,0,1.0,48.03,912.53,9.85,0.2,160.86,14.01,196.39,NVIDIA A100-SXM4-80GB,89faf2fe4e118b2d,7b1f70985555,0,temporal,train,all,0.7,0.15,0.15,C,noise_curve_c
BPI_Challenge_2012,lstm,baseline,0.1,0,0.849183,0.63066,0.983842,0.000433,0.059518,0.000115,0.020985,0.491679,0.31661,0.174905,2.7e-05,2.7e-05,0.0,0.999227,3682,5|6|7,12,18619,0.727511,19.19,326.16,9.85,0.2,160.86,14.01,196.39,NVIDIA A100-SXM4-80GB,89faf2fe4e118b2d,7b1f70985555,0,temporal,train,all,0.7,0.15,0.15,C,noise_curve_c
