dataset,arch,variant,noise,seed,accuracy,macro_f1,top3,violation_rate,forbidden,violation_rate_net,forbidden_net,dl_similarity,suffix_accuracy,exact_match,suffix_dfa_violation,suffix_dfa_violation_net,suffix_precedence_violation,suffix_net_fitness,n_suffix,prefix_lengths,best_epoch,corrupted,train_compliance,secs_per_epoch,secs_train,secs_petrinet,secs_dfa,secs_automaton,secs_markings,secs_artifacts,gpu,knowledge_key,net_fingerprint,artifacts_cached,split,knowledge,vocab_scope,train_frac,val_frac,test_frac,protocol,source_dir
Sepsis_Case,lstm,baseline,0.0,0,0.672595,0.491508,0.937984,0.0,0.002361,0.001824,0.002239,0.564343,0.369348,0.081218,0.0,0.04081,0.0,0.972783,394,6|7|8,12,0,0.997279,1.39,23.58,0.09,0.17,0.48,3.15,4.78,NVIDIA A100-SXM4-80GB,43a14d7652fde71f,ca89a5e805b1,0,temporal,train,all,0.7,0.15,0.15,C,noise_curve_c
Sepsis_Case,lstm,checker,0.0,0,0.671683,0.492059,0.941176,0.0,0.001628,0.001824,0.002246,0.559313,0.377863,0.109137,0.0,0.067821,0.0,0.964922,394,6|7|8,11,0,0.997279,1.42,22.7,0.09,0.17,0.48,3.15,4.78,NVIDIA A100-SXM4-80GB,43a14d7652fde71f,ca89a5e805b1,0,temporal,train,all,0.7,0.15,0.15,C,noise_curve_c
Sepsis_Case,lstm,checker_net,0.0,0,0.672139,0.491652,0.939352,0.0,0.002103,0.001824,0.002086,0.550158,0.37522,0.109137,0.0,0.055197,0.0,0.967531,394,6|7|8,11,0,0.997279,1.13,18.08,0.09,0.17,0.48,3.15,4.78,NVIDIA A100-SXM4-80GB,43a14d7652fde71f,ca89a5e805b1,0,temporal,train,all,0.7,0.15,0.15,C,noise_curve_c
Sepsis_Case,lstm,checker_net_state,0.0,0,0.665299,0.488424,0.936617,0.0,0.002138,0.001824,0.002271,0.556342,0.384028,0.093909,0.0,0.059894,0.0,0.972102,394,6|7|8,11,0,0.997279,1.19,19.1,0.09,0.17,0.48,3.15,4.78,NVIDIA A100-SXM4-80GB,43a14d7652fde71f,ca89a5e805b1,0,temporal,train,all,0.7,0.15,0.15,C,noise_curve_c
Sepsis_Case,lstm,marking,0.0,0,0.660283,0.486172,0.936617,0.0,0.001771,0.001824,0.002243,0.564383,0.373165,0.096447,0.008221,0.052554,0.0,0.974378,394,6|7|8,16,0,0.997279,1.4,29.39,0.09,0.17,0.48,3.15,4.78,NVIDIA A100-SXM4-80GB,43a14d7652fde71f,ca89a5e805b1,0,temporal,train,all,0.7,0.15,0.15,C,noise_curve_c
Sepsis_Case,lstm,gnn,0.0,0,0.667123,0.48632,0.937528,0.0,0.002767,0.001824,0.002797,0.568165,0.426307,0.07868,0.000881,0.010863,0.0,0.988012,394,6|7|8,11,0,0.997279,1.42,22.68,0.09,0.17,0.48,3.15,4.78,NVIDIA A100-SXM4-80GB,43a14d7652fde71f,ca89a5e805b1,0,temporal,train,all,0.7,0.15,0.15,C,noise_curve_c
Sepsis_Case,lstm,seq,0.0,0,0.664387,0.476008,0.931601,0.0,0.00275,0.001824,0.002426,0.585162,0.4266,0.07868,0.0,0.004991,0.0,0.990797,394,6|7|8,9,0,0.997279,3.3,46.18,0.09,0.17,0.48,3.15,4.78,NVIDIA A100-SXM4-80GB,43a14d7652fde71f,ca89a5e805b1,0,temporal,train,all,0.7,0.15,0.15,C,noise_curve_c
Sepsis_Case,lstm,lll,0.0,0,0.668947,0.482023,0.934337,0.0,0.002046,0.000456,0.000968,0.57106,0.419554,0.081218,0.023782,0.023782,0.002538,0.985692,394,6|7|8,10,0,0.997279,1.3,19.49,0.09,0.17,0.48,3.15,4.78,NVIDIA A100-SXM4-80GB,43a14d7652fde71f,ca89a5e805b1,0,temporal,train,all,0.7,0.15,0.15,C,noise_curve_c
Sepsis_Case,lstm,gll,0.0,0,0.673963,0.480949,0.935249,0.0,0.001247,0.001368,0.001396,0.570664,0.409865,0.076142,0.019671,0.000587,0.0,0.991282,394,6|7|8,15,0,0.997279,2.96,59.29,0.09,0.17,0.48,3.15,4.78,NVIDIA A100-SXM4-80GB,43a14d7652fde71f,ca89a5e805b1,0,temporal,train,all,0.7,0.15,0.15,C,noise_curve_c
Sepsis_Case,lstm,baseline,0.1,0,0.662107,0.480745,0.937528,0.0,0.027084,0.001368,0.009945,0.570012,0.395772,0.083756,0.0,0.027011,0.005076,0.982334,394,6|7|8,12,1082,0.672109,1.61,27.3,0.09,0.17,0.48,3.15,4.78,NVIDIA A100-SXM4-80GB,43a14d7652fde71f,ca89a5e805b1,0,temporal,train,all,0.7,0.15,0.15,C,noise_curve_c
